name,language,stars,forks,owner,created_at
public-apis,Python,439191,48133,public-apis,2016-03-20T23:49:42Z
free-programming-books,Python,389630,66412,EbookFoundation,2013-10-11T06:50:37Z
system-design-primer,Python,351660,56574,donnemartin,2017-02-26T16:15:28Z
awesome-python,Python,301142,28042,vinta,2014-06-27T21:00:06Z
Python,Python,221623,50708,TheAlgorithms,2016-07-16T09:44:01Z
AutoGPT,Python,184736,46185,Significant-Gravitas,2023-03-16T09:21:07Z
hermes-agent,Python,179627,30775,NousResearch,2025-07-22T22:22:28Z
yt-dlp,Python,167815,14108,yt-dlp,2020-10-26T04:22:55Z
stable-diffusion-webui,Python,163421,30373,AUTOMATIC1111,2022-08-22T14:05:26Z
transformers,Python,161257,33403,huggingface,2018-10-29T13:56:00Z
HelloGitHub,Python,159992,12104,521xueweihan,2016-05-04T06:24:11Z
langflow,Python,149205,9185,langflow-ai,2023-02-08T22:28:03Z
skills,Python,146245,17235,anthropics,2025-09-22T15:53:31Z
markitdown,Python,143235,9788,microsoft,2024-11-13T19:56:40Z
youtube-dl,Python,140418,10671,ytdl-org,2010-10-31T14:35:07Z
open-webui,Python,139928,20092,open-webui,2023-10-06T22:08:27Z
langchain,Python,138458,22938,langchain-ai,2022-10-17T02:58:36Z
claude-code,Python,129953,21122,anthropics,2025-02-22T17:41:21Z
ComfyUI,Python,115616,13522,Comfy-Org,2023-01-17T03:15:56Z
awesome-llm-apps,Python,112890,16743,Shubhamsaboo,2024-04-29T05:30:25Z
spec-kit,Python,108160,9572,github,2025-08-21T22:54:31Z
DeepSeek-V3,Python,103674,16726,deepseek-ai,2024-12-26T09:52:40Z
whisper,Python,101414,12406,openai,2022-09-16T20:02:54Z
pytorch,Python,100370,27930,pytorch,2016-08-13T05:26:41Z
fastapi,Python,98872,9391,fastapi,2018-12-08T08:21:47Z
thefuck,Python,97192,3945,nvbn,2015-04-08T15:08:04Z
browser-use,Python,97068,10863,browser-use,2024-10-31T16:00:56Z
Deep-Live-Cam,Python,93592,13651,hacksider,2023-09-24T13:19:31Z
django,Python,87635,34004,django,2012-04-28T02:47:18Z
core,Python,87498,37605,home-assistant,2013-09-17T07:29:48Z
manim,Python,87322,7295,3b1b,2015-03-22T18:50:58Z
ui-ux-pro-max-skill,Python,87084,9001,nextlevelbuilder,2025-11-30T11:36:31Z
autoresearch,Python,85006,12321,karpathy,2026-03-06T22:00:43Z
sherlock,Python,84491,9859,sherlock-project,2018-12-24T14:30:48Z
TradingAgents,Python,82771,16048,TauricResearch,2024-12-28T03:31:08Z
devops-exercises,Python,82568,19436,bregman-arie,2019-10-03T17:31:21Z
vllm,Python,81896,17626,vllm-project,2023-02-09T11:23:20Z
ragflow,Python,81873,9422,infiniflow,2023-12-12T06:13:13Z
funNLP,Python,81045,15220,fighting41love,2018-08-21T11:20:39Z
PaddleOCR,Python,79494,10574,PaddlePaddle,2020-05-08T10:38:16Z
MoneyPrinterTurbo,Python,79021,11244,harry0703,2024-03-11T02:57:34Z
d2l-zh,Python,78191,12269,d2l-ai,2017-08-23T04:40:24Z
PayloadsAllTheThings,Python,78185,17037,swisskyrepo,2016-10-18T07:29:07Z
models,Python,77665,45046,tensorflow,2016-02-05T01:15:20Z
hackingtool,Python,77013,8716,Z4nzu,2020-04-11T09:21:31Z
OpenHands,Python,75784,9614,OpenHands,2024-03-13T03:33:31Z
cpython,Python,72976,34696,python,2017-02-10T19:23:51Z
awesome-machine-learning,Python,72683,15475,josephmisiti,2014-07-15T19:11:19Z
LlamaFactory,Python,71857,8784,hiyouga,2023-05-28T10:09:12Z
flask,Python,71637,16847,pallets,2010-04-06T11:11:59Z
gpt_academic,Python,70817,8367,binary-husky,2023-03-20T09:05:13Z
deer-flow,Python,70407,9519,bytedance,2025-05-07T02:50:19Z
ansible,Python,68738,24144,ansible,2012-03-06T14:58:02Z
OpenBB,Python,68570,6912,OpenBB-finance,2020-12-20T10:46:38Z
MetaGPT,Python,68500,8739,FoundationAgents,2023-06-30T09:04:55Z
crawl4ai,Python,67728,6922,unclecode,2024-05-09T09:48:50Z
annotated_deep_learning_paper_implementations,Python,66897,6713,labmlai,2020-08-25T02:29:34Z
MinerU,Python,66369,5590,opendatalab,2024-02-29T08:52:34Z
gpt4free,Python,66282,13581,xtekky,2023-03-29T17:00:43Z
scikit-learn,Python,66237,27050,scikit-learn,2010-08-17T09:43:38Z
unsloth,Python,65693,5875,unslothai,2023-11-29T16:50:09Z
localstack,Python,65008,4730,localstack,2016-10-25T23:48:03Z
learn-claude-code,Python,64578,10543,shareAI-lab,2025-06-29T15:34:15Z
keras,Python,64085,19750,keras-team,2015-03-28T00:35:42Z
MiroFish,Python,64001,10011,666ghj,2025-11-26T04:23:02Z
30-Days-Of-Python,Python,63840,12034,Asabeneh,2019-11-19T17:24:16Z
open-interpreter,Python,63789,5540,openinterpreter,2023-07-14T07:10:44Z
awesome-claude-skills,Python,63144,6945,ComposioHQ,2025-10-17T07:15:01Z
pathway,Python,63112,1679,pathwaycom,2022-11-27T13:01:14Z
scrapy,Python,62095,11612,scrapy,2010-02-22T02:01:14Z
openpilot,Python,61260,10952,commaai,2016-11-24T01:33:30Z
docling,Python,60935,4250,docling-project,2024-07-09T07:50:26Z
Scrapling,Python,60528,5835,D4Vinci,2024-10-13T20:29:53Z
Real-Time-Voice-Cloning,Python,59879,9408,CorentinJ,2019-05-26T08:56:15Z
ai-hedge-fund,Python,59771,10562,virattt,2024-11-29T16:30:01Z
llama,Python,59447,9783,meta-llama,2023-02-14T09:29:12Z
nanoGPT,Python,59181,10210,karpathy,2022-12-28T00:51:12Z
graphify,Python,58987,6156,safishamsi,2026-04-03T15:49:07Z
TrendRadar,Python,58792,24487,sansan0,2025-04-28T11:42:16Z
autogen,Python,58677,8861,microsoft,2023-08-18T11:43:45Z
GPT-SoVITS,Python,58351,6386,RVC-Boss,2024-01-14T18:05:21Z
ultralytics,Python,57970,11133,ultralytics,2022-09-11T16:39:45Z
mem0,Python,57643,6584,mem0ai,2023-06-20T08:58:36Z
yolov5,Python,57488,17474,ultralytics,2020-05-18T03:45:11Z
private-gpt,Python,57207,7603,zylon-ai,2023-05-02T09:15:31Z
you-get,Python,56845,9740,soimort,2012-08-20T15:53:36Z
rich,Python,56532,2161,Textualize,2019-11-10T15:28:09Z
face_recognition,Python,56456,13719,ageitgey,2017-03-03T21:52:39Z
OpenManus,Python,56447,9827,FoundationAgents,2025-03-06T14:08:14Z
hello-agents,Python,56190,6862,datawhalechina,2025-09-07T09:50:24Z
faceswap,Python,55261,13371,deepfakes,2017-12-19T09:44:13Z
gpt-engineer,Python,55212,7315,AntonOsika,2023-04-29T12:52:15Z
n8n-workflows,Python,54958,7264,Zie619,2025-05-14T08:43:59Z
nanochat,Python,54574,7403,karpathy,2025-10-13T13:46:35Z
requests,Python,54021,9941,psf,2011-02-13T18:38:17Z
mempalace,Python,53388,7052,MemPalace,2026-04-05T01:12:07Z
crewAI,Python,52801,7369,crewAIInc,2023-10-27T03:26:59Z
odoo,Python,52049,32652,odoo,2014-05-13T15:38:58Z
grok-1,Python,51675,8480,xai-org,2024-03-17T08:53:38Z
freqtrade,Python,51107,10643,freqtrade,2017-05-17T23:48:53Z
professional-programming,Python,51039,3995,charlax,2015-11-07T05:07:52Z
MediaCrawler,Python,50655,10665,NanmiCoder,2023-06-09T12:14:34Z
llama_index,Python,49897,7503,run-llama,2022-11-02T04:24:54Z
Fooocus,Python,49521,8031,lllyasviel,2023-08-09T18:43:40Z
pandas,Python,48899,19981,pandas-dev,2010-08-24T01:37:33Z
VibeVoice,Python,47731,5329,microsoft,2025-08-25T13:24:01Z
big-list-of-naughty-strings,Python,47660,2162,minimaxir,2015-08-08T20:57:20Z
textgen,Python,47265,5977,oobabooga,2022-12-21T04:17:37Z
aider,Python,45745,4539,Aider-AI,2023-05-09T18:57:49Z
airflow,Python,45684,17167,apache,2015-04-13T18:04:58Z
awesome-claude-code,Python,45633,3969,hesreallyhim,2025-04-19T20:55:59Z
TTS,Python,45479,6109,coqui-ai,2020-05-20T15:45:28Z
exo,Python,45126,3216,exo-explore,2024-06-24T18:36:22Z
copyparty,Python,45109,1839,9001,2019-05-26T15:28:33Z
CowAgent,Python,45050,10169,zhayujie,2022-08-07T08:33:41Z
Umi-OCR,Python,44836,4412,hiroi-sora,2022-03-28T04:01:46Z
streamlit,Python,44816,4259,streamlit,2019-08-24T00:14:52Z
Summer2026-Internships,Python,44787,3180,SimplifyJobs,2020-05-23T20:53:18Z
sentry,Python,44037,4717,getsentry,2010-08-30T22:06:41Z
qlib,Python,44005,6927,microsoft,2020-08-14T06:46:00Z
mitmproxy,Python,43778,4570,mitmproxy,2010-02-16T04:10:13Z
nanobot,Python,43617,7724,HKUDS,2026-02-01T07:16:15Z
gradio,Python,42799,3473,gradio-app,2018-12-19T08:24:04Z
ccxt,Python,42783,8692,ccxt,2017-05-14T15:41:56Z
python-patterns,Python,42782,7015,faif,2012-06-06T21:02:35Z
ray,Python,42766,7629,ray-project,2016-10-25T19:38:30Z
DeepSpeed,Python,42461,4849,deepspeedai,2020-01-23T18:35:18Z
diagrams,Python,42313,2724,mingrammer,2020-02-02T15:23:24Z
ailearning,Python,42295,11546,apachecn,2017-02-25T08:53:02Z
CLI-Anything,Python,41969,3967,HKUDS,2026-03-08T13:52:57Z
paperless-ngx,Python,41875,2790,paperless-ngx,2022-02-12T21:56:52Z
black,Python,41545,2773,psf,2018-03-14T19:54:45Z
cheat.sh,Python,41435,1926,chubin,2017-05-07T21:40:56Z
ColossalAI,Python,41384,4506,hpcaitech,2021-10-28T16:19:44Z
vnpy,Python,41295,11841,vnpy,2015-03-02T03:36:58Z
BettaFish,Python,41197,7586,666ghj,2024-07-01T13:11:38Z
ChatGLM-6B,Python,41066,5147,zai-org,2023-03-13T12:00:18Z
agno,Python,40506,5470,agno-agi,2022-05-04T15:23:02Z
daily_stock_analysis,Python,40478,38783,ZhuLinsen,2026-01-10T06:43:20Z
bert,Python,40022,9713,google-research,2018-10-25T22:57:34Z
supervision,Python,39947,3599,roboflow,2022-11-28T14:08:44Z
antigravity-awesome-skills,Python,39658,6428,sickn33,2026-01-14T17:48:09Z
Deep-Learning-Papers-Reading-Roadmap,Python,39505,7296,floodsung,2016-10-14T11:49:48Z
FastChat,Python,39479,4786,lm-sys,2023-03-19T00:18:02Z
ChatTTS,Python,39382,4239,2noise,2024-05-27T18:26:49Z
minds-platform,Python,39235,6212,mindsdb,2018-08-02T17:56:45Z
quivr,Python,39169,3739,QuivrHQ,2023-05-12T23:53:30Z
BitNet,Python,39154,3570,microsoft,2024-08-05T09:07:38Z
manim,Python,38800,2886,ManimCommunity,2020-05-19T02:37:13Z
python-cheatsheet,Python,38447,6705,gto76,2018-01-25T04:16:53Z
Langchain-Chatchat,Python,38135,6213,chatchat-space,2023-03-31T12:12:45Z
sqlmap,Python,37550,6267,sqlmapproject,2012-06-26T09:52:15Z
GFPGAN,Python,37462,6284,TencentARC,2021-03-19T06:18:20Z
Open-Assistant,Python,37409,3281,LAION-AI,2022-12-13T05:24:17Z
interview_internal_reference,Python,37235,9371,0voice,2019-06-10T06:54:19Z
gym,Python,37207,8702,openai,2016-04-27T14:59:16Z
wtfpython,Python,36963,2665,satwikkansal,2017-08-28T20:22:19Z
MockingBird,Python,36898,5214,babysor,2021-08-07T03:53:39Z
pytorch-image-models,Python,36854,5163,huggingface,2019-02-02T05:51:12Z
langextract,Python,36798,2532,google,2025-07-08T20:46:06Z
OpenVoice,Python,36613,4088,myshell-ai,2023-11-29T12:17:01Z
HanLP,Python,36343,10889,hankcs,2014-10-09T06:36:16Z
agents,Python,36327,3940,wshobson,2025-07-24T23:28:14Z
LightRAG,Python,36145,5108,HKUDS,2024-10-02T11:57:54Z
textual,Python,36141,1206,Textualize,2021-04-08T15:24:47Z
Hello-Python,Python,35868,2302,mouredev,2022-08-03T17:14:53Z
Retrieval-based-Voice-Conversion-WebUI,Python,35859,5062,RVC-Project,2023-03-27T09:59:10Z
DragGAN,Python,35843,3422,XingangPan,2023-05-18T10:08:02Z
jax,Python,35754,3607,jax-ml,2018-10-25T21:25:02Z
marker,Python,35728,2473,datalab-to,2023-10-30T20:14:08Z
Real-ESRGAN,Python,35660,4358,xinntao,2021-07-19T03:23:30Z
erpnext,Python,35249,11553,frappe,2011-06-08T08:20:56Z
Python,Python,35061,12928,geekcomputers,2011-11-30T09:04:08Z
jieba,Python,34998,6700,fxsjy,2012-09-29T07:52:01Z
claude-howto,Python,34907,4251,luongnv89,2025-11-07T22:59:34Z
posthog,Python,34845,2815,PostHog,2020-01-23T22:46:58Z
dspy,Python,34837,2952,stanfordnlp,2023-01-09T21:01:51Z
khoj,Python,34822,2217,khoj-ai,2021-08-16T01:48:44Z
detectron2,Python,34522,7940,facebookresearch,2019-09-05T21:30:20Z
PDFMathTranslate,Python,34453,3079,PDFMathTranslate,2024-09-06T06:56:03Z
awesome-copilot,Python,34420,4213,github,2025-06-11T16:57:39Z
poetry,Python,34273,2451,python-poetry,2018-02-28T15:23:47Z
12306,Python,34152,9645,testerSunshine,2017-05-17T12:23:40Z
TaskMatrix,Python,34100,3223,chenfei-wu,2023-03-02T09:04:28Z
ControlNet,Python,33913,3012,lllyasviel,2023-02-01T02:43:30Z
langgraph,Python,33808,5694,langchain-ai,2023-08-09T18:33:12Z
OCRmyPDF,Python,33784,2343,ocrmypdf,2013-12-20T08:26:28Z
diffusers,Python,33769,7019,huggingface,2022-05-30T16:04:02Z
AstrBot,Python,33769,2312,AstrBotDevs,2022-12-08T13:27:46Z
gpt-pilot,Python,33749,3490,Pythagora-io,2023-08-16T11:56:07Z
spaCy,Python,33631,4687,explosion,2014-07-03T15:15:40Z
shadowsocks,Python,33592,18125,shadowsocks,2012-04-20T13:10:49Z
XX-Net,Python,33450,7568,XX-net,2015-01-15T09:35:51Z
graphrag,Python,33441,3539,microsoft,2024-03-27T17:57:52Z
ChatDev,Python,33310,4147,OpenBMB,2023-08-28T02:18:13Z
kitty,Python,33291,1381,kovidgoyal,2016-10-16T14:48:28Z
certbot,Python,33069,3497,certbot,2014-11-12T02:52:20Z
tinygrad,Python,32962,4159,tinygrad,2020-10-18T16:23:12Z
mmdetection,Python,32733,9834,open-mmlab,2018-08-22T07:06:06Z
glances,Python,32725,1744,nicolargo,2011-12-04T08:49:15Z
hello-algo,Java,126542,15114,krahets,2022-11-04T11:08:34Z
GitHub-Chinese-Top-Charts,Java,108206,13534,GrowingGit,2019-09-05T03:01:56Z
java-design-patterns,Java,94106,27366,iluwatar,2014-08-09T16:45:18Z
mall,Java,83794,29704,macrozheng,2018-04-04T01:11:44Z
spring-boot,Java,80763,41930,spring-projects,2012-10-19T15:02:57Z
advanced-java,Java,78991,19210,doocs,2018-10-06T11:38:30Z
elasticsearch,Java,76827,25968,elastic,2010-02-08T13:20:56Z
LeetCodeAnimation,Java,76597,13911,MisterBooo,2018-12-06T08:01:22Z
ghidra,Java,69195,7606,NationalSecurityAgency,2019-03-01T03:27:48Z
Java,Java,65777,21177,TheAlgorithms,2016-07-16T10:21:02Z
interviews,Java,64947,12886,kdn251,2017-02-14T18:19:25Z
spring-framework,Java,60008,38826,spring-projects,2010-12-08T04:04:45Z
termux-app,Java,55915,6705,termux,2015-10-23T09:42:46Z
guava,Java,51478,11139,google,2014-05-29T16:23:17Z
dbeaver,Java,50385,4217,dbeaver,2015-10-21T08:26:28Z
jadx,Java,48870,5535,skylot,2013-03-18T17:08:21Z
RxJava,Java,48237,7587,ReactiveX,2013-01-08T20:11:48Z
JeecgBoot,Java,46607,16039,jeecgboot,2018-11-26T10:40:00Z
dubbo,Java,41517,26438,apache,2012-06-19T07:56:02Z
halo,Java,38876,10277,halo-dev,2018-03-21T12:56:52Z
NewPipe,Java,38534,3619,TeamNewPipe,2015-09-03T23:39:26Z
awesome-system-design-resources,Java,38431,8274,ashishps1,2023-10-25T01:50:42Z
MPAndroidChart,Java,38199,8991,PhilJay,2014-04-25T14:29:47Z
ruoyi-vue-pro,Java,37613,8152,YunaiV,2021-01-24T03:18:25Z
tutorials,Java,37349,53533,eugenp,2013-04-29T18:26:36Z
arthas,Java,37337,7630,alibaba,2018-08-29T17:15:57Z
leetcode,Java,36095,9413,doocs,2018-09-16T14:03:03Z
hello-algorithm,Java,36074,6419,geekxh,2020-05-29T05:47:09Z
lottie-android,Java,35609,5429,airbnb,2016-10-06T22:42:42Z
glide,Java,35018,6175,bumptech,2013-07-08T22:52:33Z
netty,Java,34970,16249,netty,2010-11-09T09:22:21Z
keycloak,Java,34729,8432,keycloak,2013-07-02T13:38:51Z
selenium,Java,34149,8687,SeleniumHQ,2013-01-14T21:40:56Z
spring-boot-demo,Java,34101,10937,xkcoding,2017-11-10T06:27:29Z
zxing,Java,33959,9431,zxing,2011-10-12T14:07:27Z
easyexcel,Java,33709,7593,alibaba,2018-02-06T03:14:08Z
AndroidUtilCode,Java,33659,10649,Blankj,2016-07-30T18:18:32Z
nacos,Java,33003,13288,alibaba,2018-06-15T06:49:27Z
WxJava,Java,32843,9056,binarywang,2016-01-06T08:24:05Z
kafka,Java,32707,15248,apache,2011-08-15T18:06:16Z
conductor,Java,31876,915,conductor-oss,2023-12-08T06:06:09Z
spring-boot-examples,Java,30576,12215,ityouknow,2016-11-05T05:32:33Z
SmartTube,Java,30367,1627,yuliskov,2020-07-28T12:53:52Z
hutool,Java,30286,7597,chinabugotech,2014-04-13T07:23:51Z
xxl-job,Java,30221,11485,xuxueli,2015-11-28T12:59:34Z
apollo,Java,29760,10171,apolloconfig,2016-03-04T10:24:23Z
canal,Java,29691,7637,alibaba,2013-01-13T10:59:52Z
Telegram,Java,29271,9638,DrKLO,2013-10-25T14:08:10Z
spring-cloud-alibaba,Java,29115,8509,alibaba,2017-12-01T20:49:15Z
SpringAll,Java,28980,8126,wuyouzhuguli,2018-05-02T02:48:44Z
